CustomerID,Age,Gender,Income,Education,Marital_Status,Total_Spending,Campaign_Acceptance,Last_Purchase_Date,Region,Occupation,Number_of_Children,Household_Size,Customer_Lifetime_Value,Engagement_Score,Preferred_Communication_Channel,Purchase_History,Loyalty_Program_Status,Social_Media_Activity,Feedback_Score
1171,31,Female,43295,Bachelor,Married,2264,0,2023-09-10,East,Scientist,4,1,11443,87,SMS,Decision morning education.,Bronze,2,7
1172,49,Female,55060,Bachelor,Divorced,2418,0,2023-07-16,North,Lawyer,4,4,10317,74,Phone,Quickly recent under bit at operation nation.,Silver,38,4
1173,68,Male,43569,High School,Single,2038,0,2023-04-10,East,Scientist,4,1,5889,89,SMS,Loss me yeah must sign form seem.,Silver,5,6
1174,55,Male,51393,High School,Single,2253,0,2023-02-25,East,Lawyer,1,1,7923,22,Email,Agree easy student group chair including citizen.,Gold,80,2
1175,50,Female,31737,High School,Divorced,2091,0,2023-07-20,West,Doctor,0,3,13444,95,Phone,Public building guy school way street.,Bronze,9,5
1176,40,Female,49871,High School,Married,1610,1,2024-08-16,West,Doctor,4,2,14768,23,Email,Stuff get piece challenge exist place.,Bronze,84,3
1177,32,Female,42832,High School,Single,1475,1,2024-11-29,North,Scientist,0,6,14094,92,Phone,Never until training meet deep treat.,Bronze,28,1
1178,50,Male,33158,High School,Divorced,2349,1,2024-02-01,North,Lawyer,1,1,5946,45,SMS,Live none sort else. Join ago southern set serve.,Platinum,28,6
1179,42,Male,79636,PhD,Widowed,2758,1,2023-02-23,North,Doctor,0,2,8944,79,Phone,Board drop able nature front camera fight.,Platinum,19,9
1180,34,Male,33743,Master,Divorced,1184,0,2023-10-10,South,Scientist,2,5,7817,52,Email,Rise edge growth late might hope.,Platinum,78,8
1181,50,Male,50104,PhD,Divorced,1282,0,2023-08-26,East,Engineer,1,6,11999,71,Phone,Among all health.,Gold,65,4
1182,64,Male,37957,Master,Married,1277,1,2024-07-22,East,Teacher,1,6,9116,46,Phone,Already assume help business trip.,Gold,96,8
1183,19,Male,54455,PhD,Divorced,2387,0,2023-04-05,South,Teacher,3,6,6957,38,SMS,Interesting present whom able music country.,Bronze,11,5
1184,31,Male,30884,PhD,Widowed,2429,0,2024-09-22,South,Artist,4,2,14438,40,SMS,Dog why reflect market kid.,Bronze,12,3
1185,57,Female,62605,High School,Divorced,1511,1,2024-10-12,North,Scientist,1,3,8265,15,Phone,Not office morning attention. Admit kitchen sign.,Gold,38,4
1186,57,Female,80542,High School,Widowed,3102,1,2024-03-31,East,Teacher,0,3,13033,69,SMS,Cell need system instead material four six town.,Platinum,38,7
1187,68,Male,37406,Master,Single,1807,0,2023-11-16,West,Engineer,2,5,8169,12,SMS,Increase instead staff.,Platinum,44,5
1188,56,Male,68254,Master,Divorced,2717,1,2023-12-01,West,Scientist,0,3,12361,77,Phone,Often red enjoy fish expect treat.,Platinum,84,4
1189,68,Male,44271,High School,Married,2404,0,2024-06-05,South,Teacher,0,2,9029,67,Email,Yeah rate security body fact shoulder nor win.,Platinum,40,3
1190,23,Female,72586,PhD,Divorced,1520,1,2024-03-20,South,Teacher,2,6,6881,57,SMS,Try against opportunity run writer material.,Platinum,79,3
1191,23,Male,82827,Master,Widowed,1790,0,2025-01-01,East,Engineer,3,2,13454,19,Phone,Skill difference right recent.,Gold,97,6
1192,20,Female,46494,Bachelor,Widowed,1563,1,2023-05-15,East,Lawyer,4,6,7877,90,Phone,Member official ago.,Silver,90,8
1193,24,Female,27196,Bachelor,Married,1327,0,2023-02-21,West,Teacher,1,2,10328,30,Phone,Task smile art town. Seem water together issue.,Silver,42,4
1194,68,Female,64221,Bachelor,Widowed,1873,0,2024-04-22,East,Artist,4,3,6102,92,Email,Out real one tough building north need.,Silver,61,1
1195,25,Female,53366,Master,Divorced,1400,0,2023-05-06,North,Teacher,3,2,5865,79,Email,Politics through win dinner upon military.,Bronze,2,4
1196,59,Female,57526,High School,Widowed,1912,1,2024-08-15,South,Teacher,2,4,14615,18,Email,Example sit southern executive life available.,Bronze,8,5
1197,69,Male,44902,High School,Divorced,2966,0,2024-10-13,West,Engineer,4,6,10419,63,SMS,About why bit open.,Platinum,43,8
1198,32,Male,36732,High School,Divorced,2348,0,2024-09-24,West,Engineer,0,6,9682,7,Phone,Make young million happy much.,Bronze,33,7
1199,64,Female,67405,Master,Widowed,1721,1,2024-08-30,North,Scientist,1,5,8732,60,Phone,Party week however better seat third suddenly.,Gold,18,2
1200,46,Male,54796,Master,Married,1680,1,2024-06-12,East,Artist,1,4,7665,78,Email,Enough customer catch cultural.,Silver,89,9
1201,50,Female,28346,Bachelor,Single,1799,0,2024-05-18,East,Doctor,3,2,11749,88,SMS,As mean move image. Thought money agree course.,Gold,86,3
1202,69,Female,60303,Master,Married,3035,0,2023-09-30,South,Engineer,3,3,14261,63,SMS,Door to able also explain what type gas.,Gold,17,9
1203,47,Male,57292,Bachelor,Single,1455,1,2023-04-02,North,Doctor,2,5,12452,57,Phone,Learn task case of prepare firm decision tell.,Gold,45,1
1204,56,Male,45120,Bachelor,Married,1999,1,2023-04-14,West,Artist,3,4,11832,88,Email,Happen blue they several describe.,Platinum,40,9
1205,44,Male,74297,High School,Divorced,2232,0,2024-11-25,North,Teacher,4,2,9058,75,Phone,None program almost prove candidate page board.,Platinum,48,7
1206,53,Male,40727,Master,Divorced,2607,0,2024-12-01,West,Scientist,1,3,11905,39,Email,Agreement material tree.,Platinum,51,2
1207,46,Male,47465,High School,Widowed,1833,1,2024-04-15,North,Teacher,2,2,15846,43,Email,Best performance kind space stage learn bag.,Bronze,73,7
1208,55,Female,61529,High School,Single,1518,0,2023-12-09,East,Scientist,3,6,9202,56,Phone,Professional ever kid must person.,Platinum,42,1
1209,50,Male,51151,Master,Single,2144,0,2024-08-20,West,Doctor,0,4,11077,10,Email,More central whole join.,Bronze,9,3
1210,54,Male,29233,Master,Widowed,2657,0,2023-10-25,South,Artist,1,4,14080,97,Email,True past understand deep important area.,Gold,84,7
1211,44,Male,52756,PhD,Married,1863,1,2024-06-15,North,Artist,2,5,15850,20,Email,Quickly treatment resource sit grow future.,Silver,37,3
1212,50,Female,43784,Bachelor,Widowed,1580,1,2023-05-13,East,Engineer,1,3,10419,64,Email,Value owner kind more morning.,Platinum,37,2
1213,21,Male,62854,PhD,Married,2055,0,2024-03-06,West,Doctor,4,1,12544,39,SMS,Top forget eat general price girl hot stuff.,Bronze,46,5
1214,39,Female,52268,Bachelor,Widowed,1188,0,2024-08-10,East,Scientist,3,2,9237,86,Email,Line right remember herself.,Bronze,6,3
1215,19,Male,51417,Bachelor,Single,1890,0,2024-10-13,North,Engineer,3,3,10973,99,Email,Decide fast reflect easy particular indeed our.,Platinum,11,9
1216,27,Male,34276,Bachelor,Single,2589,1,2023-11-05,South,Doctor,3,1,9270,28,Email,Follow back view north expect under.,Platinum,51,7
1217,22,Female,46549,High School,Married,2437,0,2023-06-04,South,Engineer,0,3,13524,30,Phone,Room thought film say.,Gold,32,1
1218,27,Male,64551,High School,Single,1928,1,2024-08-11,North,Engineer,4,2,15029,58,SMS,Popular the suggest voice name.,Bronze,88,1
1219,50,Male,38351,Master,Single,2829,0,2024-10-11,West,Artist,0,2,6381,70,Email,Plan company partner young outside hear easy.,Silver,91,6
1220,55,Female,49511,Bachelor,Single,2954,1,2023-10-23,East,Artist,4,5,9685,62,Email,High community activity quality.,Gold,23,4
1221,30,Male,35953,Bachelor,Single,2332,0,2024-11-16,East,Teacher,4,4,8376,1,Phone,Live section around appear finally.,Bronze,47,1
1222,48,Female,32242,Bachelor,Divorced,1266,1,2023-09-20,West,Teacher,4,4,9043,68,SMS,Account during decade as right.,Gold,30,9
1223,64,Female,48727,High School,Widowed,1060,1,2024-07-01,North,Artist,3,4,9274,25,SMS,Court not event open more trouble.,Gold,81,2
1224,53,Female,52607,Master,Widowed,2691,0,2023-06-05,East,Artist,3,5,7396,39,SMS,Tell into toward civil recent.,Platinum,22,1
1225,62,Female,79907,High School,Divorced,2122,1,2024-05-10,East,Engineer,3,4,10837,11,Email,Indicate surface condition country.,Silver,70,3
1226,41,Female,43168,PhD,Single,2817,0,2023-03-25,North,Teacher,0,3,6504,59,SMS,Shoulder system staff value.,Silver,71,1
1227,69,Male,49247,PhD,Widowed,1330,1,2024-12-26,East,Artist,2,4,12648,37,Phone,Nature participant bar hospital.,Bronze,14,4
1228,32,Male,31248,PhD,Widowed,1919,0,2023-07-24,West,Doctor,4,4,10881,76,Phone,Economic much man approach.,Gold,37,4
1229,46,Male,59183,Master,Widowed,2514,1,2024-06-01,West,Doctor,0,6,6816,29,Email,Watch father federal research teacher.,Platinum,27,6
1230,25,Female,55971,PhD,Married,1635,1,2024-04-25,North,Teacher,3,2,6657,98,Email,Above impact story senior operation interest.,Bronze,90,3
1231,22,Female,72325,Master,Divorced,2507,0,2024-06-12,North,Doctor,3,5,12345,82,Email,Travel good next program.,Bronze,20,9
1232,46,Female,66674,High School,Married,1938,1,2023-04-13,West,Scientist,2,5,7888,9,Email,These financial mouth yeah eight many case.,Bronze,26,6
1233,64,Female,55271,High School,Married,2014,0,2023-12-30,North,Engineer,3,4,14642,46,Phone,Ability threat speech strategy politics.,Silver,46,7
1234,21,Male,42948,Master,Divorced,1408,0,2025-01-07,West,Teacher,4,6,3629,76,Email,Every weight green business wish suggest.,Gold,55,6
1235,29,Male,53070,High School,Widowed,2125,0,2024-06-19,West,Scientist,1,1,6843,9,Email,Base likely six action alone.,Gold,13,9
1236,62,Female,48334,High School,Married,3096,1,2023-10-02,West,Artist,3,2,8846,65,Email,Attack will resource throughout.,Platinum,20,2
1237,19,Female,64300,Master,Widowed,2194,1,2023-12-25,East,Scientist,2,4,9906,71,Email,Media technology argue.,Silver,13,8
1238,44,Male,62393,PhD,Married,1604,1,2025-01-09,North,Doctor,1,1,11990,42,Phone,Available build material happy itself hold leg.,Silver,69,5
1239,48,Female,45553,Master,Widowed,2697,0,2023-09-09,East,Engineer,4,3,9394,34,SMS,Feeling why trip detail dark.,Bronze,75,2
1240,68,Female,28070,Bachelor,Single,1619,0,2024-04-16,North,Artist,4,6,9036,96,Email,Question everything parent environment.,Platinum,27,7
1241,68,Female,70000,High School,Single,2860,1,2023-05-07,South,Lawyer,4,6,7980,28,Phone,Tax surface degree.,Bronze,92,5
1242,53,Male,58728,Master,Single,1362,0,2023-05-04,East,Engineer,2,2,7626,90,SMS,In upon simple third outside significant.,Platinum,36,8
1243,53,Male,45207,High School,Divorced,2136,1,2023-08-12,East,Doctor,1,6,7861,61,Phone,Admit better source interest.,Platinum,66,6
1244,43,Female,58143,PhD,Single,2763,1,2023-04-11,East,Engineer,4,5,9766,40,SMS,Fall idea read a candidate laugh.,Silver,32,7
1245,60,Male,51122,High School,Married,1566,0,2023-10-14,South,Lawyer,3,1,4461,54,Phone,Can rule mind house manage really.,Silver,11,1
1246,44,Female,69779,Master,Widowed,2041,0,2024-06-27,North,Lawyer,1,4,11610,59,Email,Article necessary environmental.,Gold,11,2
1247,22,Female,21053,PhD,Widowed,2578,0,2025-01-18,South,Engineer,4,1,10208,78,SMS,Onto option anything TV.,Gold,74,9
1248,37,Male,44042,PhD,Widowed,872,0,2023-08-13,North,Artist,1,5,9647,45,Phone,Cut new want various article town soldier way.,Gold,91,7
1249,28,Female,73985,PhD,Widowed,2463,1,2024-08-05,North,Scientist,3,3,13413,95,Email,War several south follow yard.,Silver,50,7
1250,27,Female,58447,Bachelor,Married,1956,0,2023-06-25,North,Artist,0,1,11784,80,Email,Stay consumer field wide.,Bronze,34,4
1251,57,Male,76589,Master,Widowed,2720,0,2024-12-22,North,Lawyer,4,4,10382,39,SMS,Remain case professional son they.,Platinum,97,4
1252,55,Female,31672,Master,Married,1586,0,2024-05-06,North,Teacher,3,1,11960,42,Phone,Claim girl health green we economy pattern.,Platinum,85,3
1253,23,Female,66082,PhD,Married,1306,1,2024-06-26,South,Teacher,2,6,8132,11,Email,Involve individual discover image read really.,Gold,86,4
1254,25,Female,65183,High School,Widowed,1728,0,2023-04-02,East,Artist,4,3,11780,75,Phone,Fly ahead represent able available military.,Platinum,11,6
1255,40,Male,24774,PhD,Widowed,1718,0,2023-10-29,South,Teacher,0,1,12462,38,Email,Social growth tend.,Platinum,18,3
1256,64,Female,45567,Bachelor,Widowed,1896,1,2024-04-16,East,Artist,3,3,2658,57,Email,Yes scientist but risk again.,Silver,94,8
1257,43,Male,48402,PhD,Married,1765,1,2024-04-18,East,Doctor,3,3,15309,12,Email,Method road five husband.,Silver,58,1
1258,63,Female,25706,Master,Divorced,996,1,2024-10-21,West,Artist,1,2,11002,42,SMS,Picture leg wide south boy once.,Platinum,12,6
1259,60,Female,45880,PhD,Married,1952,0,2024-06-30,East,Doctor,4,2,11831,63,Phone,Where generation she however change gas.,Bronze,18,2
1260,29,Female,63097,High School,Divorced,2115,1,2024-07-13,South,Scientist,0,4,13249,9,SMS,Early ahead personal option maybe.,Gold,35,1
1261,43,Female,44136,Master,Widowed,1903,1,2024-05-04,West,Lawyer,2,4,9589,22,SMS,Cell dinner itself like son allow.,Platinum,85,4
1262,30,Male,53631,High School,Married,2143,0,2023-04-15,North,Teacher,1,4,8751,38,SMS,Sit knowledge money claim.,Platinum,93,6
1263,57,Male,53740,PhD,Widowed,2042,0,2023-09-19,North,Scientist,4,3,10899,73,SMS,Consumer behavior already include debate.,Gold,3,7
1264,35,Female,49817,Master,Divorced,1309,1,2023-01-29,East,Scientist,0,3,18278,57,SMS,Newspaper western writer clearly.,Silver,12,1
1265,42,Female,39422,Bachelor,Divorced,1849,0,2024-02-22,North,Lawyer,1,2,9698,67,Email,Kitchen pull near sound enter adult.,Gold,83,3
1266,50,Female,59882,Master,Married,2056,0,2025-01-20,North,Engineer,0,6,8077,99,Email,Someone feel upon his their future.,Bronze,5,6
1267,64,Female,26194,High School,Married,1881,1,2023-09-05,West,Engineer,0,3,14026,30,Email,Room anything option general.,Platinum,43,6
1268,57,Female,50128,Master,Married,1253,0,2023-11-11,South,Scientist,1,2,3739,26,SMS,Themselves impact only explain break debate.,Platinum,75,6
1269,60,Female,70782,Bachelor,Married,2611,0,2024-06-05,North,Scientist,1,1,9672,72,Email,Hope front democratic yes.,Platinum,79,7
1270,29,Female,43289,Bachelor,Single,1513,1,2023-05-24,North,Lawyer,4,4,8092,54,Email,Fund song quite wonder check. Into store pass.,Gold,80,7
1271,61,Female,39090,Bachelor,Single,1378,1,2024-09-21,South,Artist,1,4,11886,32,Email,Board although place bed.,Bronze,7,8
1272,53,Male,60882,Bachelor,Widowed,2020,0,2023-03-19,West,Artist,4,5,10408,22,SMS,Far city camera kid.,Platinum,32,2
1273,65,Male,52451,High School,Divorced,1842,1,2024-09-02,West,Teacher,0,6,6699,8,Phone,Catch law perform pull apply simple customer.,Silver,51,1
1274,21,Male,61181,Master,Divorced,2300,1,2024-09-23,North,Lawyer,1,2,11941,66,Phone,Fund trial dinner drive.,Bronze,75,7
1275,22,Female,50577,PhD,Widowed,2436,0,2024-01-14,East,Engineer,4,5,7538,14,Email,Staff let democratic any voice still or.,Bronze,89,1
1276,54,Female,14175,Bachelor,Widowed,2360,0,2023-09-13,South,Lawyer,4,4,9857,5,SMS,Leg fight condition up artist glass no radio.,Bronze,82,2
1277,25,Female,67698,PhD,Widowed,1999,0,2023-11-03,West,Lawyer,2,5,8718,13,Phone,Action role already you.,Bronze,12,1
1278,59,Male,81050,PhD,Single,2276,1,2024-01-25,North,Teacher,4,1,12443,87,Email,Town view which staff window stop evening.,Silver,9,1
1279,66,Female,69260,Master,Widowed,1219,1,2024-05-30,West,Artist,4,5,8623,77,SMS,Consider reach write not.,Bronze,33,3
1280,45,Male,-3082,PhD,Divorced,2547,0,2023-12-28,North,Scientist,2,1,726,83,Phone,Reduce which we director. Offer agent woman us.,Silver,94,4
1281,48,Female,56766,PhD,Widowed,1797,0,2024-04-05,South,Engineer,3,4,6654,24,Phone,Admit now station enter peace per.,Gold,26,5
1282,26,Male,42998,High School,Married,2984,0,2024-04-09,East,Teacher,1,3,10189,35,SMS,Ability type morning television blood yet.,Gold,57,5
1283,68,Male,33736,PhD,Divorced,2562,0,2024-10-02,South,Engineer,2,2,8021,78,Phone,Myself head small turn cup.,Gold,66,2
1284,46,Male,51840,Master,Divorced,1901,1,2024-09-08,West,Engineer,4,5,13576,68,Email,Current economy key develop leader.,Gold,43,3
1285,31,Female,47765,PhD,Divorced,2010,1,2024-11-15,West,Artist,4,6,6937,26,Email,Ask must stop power far. A station race.,Silver,68,8
1286,57,Male,57629,Master,Single,2592,1,2024-08-08,West,Scientist,1,1,11730,74,SMS,Body size become out.,Platinum,4,2
1287,58,Female,50848,Bachelor,Single,869,1,2024-09-17,East,Scientist,0,6,12423,38,SMS,Throughout lot analysis season quality.,Silver,36,4
1288,39,Female,33187,PhD,Divorced,1919,1,2024-12-16,South,Artist,2,4,10528,34,Email,Realize even short field.,Gold,70,7
1289,28,Female,41350,PhD,Married,2850,1,2023-07-02,North,Teacher,3,6,11227,34,SMS,Peace range kind here floor star evidence.,Platinum,55,9
1290,40,Female,38930,PhD,Divorced,2422,0,2023-02-22,South,Doctor,1,6,9595,19,Phone,Carry really almost piece campaign have song.,Platinum,50,3
1291,18,Female,24252,Bachelor,Single,1581,1,2024-07-13,South,Teacher,1,4,10826,3,Phone,Down seven spring benefit which field.,Platinum,55,3
1292,63,Male,29425,High School,Married,2157,1,2024-09-22,East,Teacher,2,3,8541,36,Phone,Science defense turn safe girl common sing.,Platinum,41,7
1293,54,Female,46833,PhD,Divorced,1511,1,2023-10-31,South,Doctor,4,6,10678,4,Phone,Bill network though section.,Bronze,12,8
1294,38,Female,71356,Master,Single,1829,1,2023-10-07,West,Engineer,4,6,9136,26,SMS,Good until author finally.,Gold,33,4
1295,43,Female,41966,High School,Married,2166,0,2023-07-11,East,Lawyer,3,6,9135,75,Phone,Call health everybody experience.,Gold,99,1
1296,63,Female,38638,High School,Widowed,2254,0,2023-07-11,West,Doctor,2,4,8004,3,SMS,Sometimes role toward. Let interesting officer.,Gold,33,5
1297,53,Female,32280,High School,Widowed,2364,1,2024-05-30,West,Lawyer,1,6,9349,49,Email,Exist moment those behind.,Silver,52,4
1298,40,Male,50458,PhD,Divorced,2616,0,2024-06-15,South,Engineer,2,4,14526,9,Phone,Difficult way control guy account.,Gold,2,8
1299,18,Male,67688,Bachelor,Widowed,1403,0,2023-08-05,North,Doctor,0,3,9275,46,SMS,The woman all prepare step.,Gold,73,7
1300,68,Female,80040,Bachelor,Single,2012,0,2024-09-29,South,Artist,1,4,12820,66,Email,Painting usually tend large hope reflect expect.,Gold,98,2
1301,57,Male,54280,PhD,Married,1574,0,2023-04-03,North,Teacher,3,6,11571,14,Phone,Go traditional test within I return energy.,Silver,36,6
1302,32,Male,52099,Master,Divorced,1800,1,2023-09-04,East,Doctor,3,1,10740,3,Phone,At pressure subject ever president own image.,Gold,51,4
1303,38,Female,41847,Master,Married,1622,1,2024-09-05,East,Doctor,1,6,10857,2,Phone,Card section sort rise loss right.,Gold,5,7
1304,64,Male,44351,Master,Married,2249,1,2023-05-31,East,Engineer,4,5,10063,86,SMS,Left left clear mother them.,Bronze,20,9
1305,26,Female,59437,PhD,Married,2526,1,2023-10-24,West,Artist,1,5,8253,93,SMS,Color simple factor.,Gold,44,7
1306,26,Male,45276,Bachelor,Single,2553,1,2024-05-10,West,Doctor,1,1,15154,33,Email,Reduce check nation team each level technology.,Platinum,4,2
1307,27,Male,47565,PhD,Divorced,1447,0,2024-08-06,East,Artist,0,5,13173,10,Phone,May law reach themselves Mrs discuss accept.,Silver,2,8
1308,69,Male,49619,Bachelor,Widowed,1938,1,2024-11-05,South,Lawyer,1,6,10129,53,Email,Identify good gun. Power here glass.,Platinum,19,6
1309,43,Female,41137,High School,Married,1433,1,2023-04-30,West,Doctor,2,4,10207,44,SMS,Board without I everybody fish brother.,Bronze,93,9
1310,58,Male,48875,PhD,Married,1416,0,2024-05-10,West,Artist,2,6,11697,38,Phone,Everything color to approach political.,Gold,75,7
1311,52,Male,19708,Bachelor,Married,1669,0,2023-08-12,South,Teacher,3,5,6825,21,Email,Last reveal child camera.,Silver,60,5
1312,69,Female,58232,High School,Single,2171,1,2023-03-16,West,Engineer,4,5,7651,95,Phone,Without since loss discussion.,Bronze,34,8
1313,42,Female,85276,High School,Widowed,2259,0,2024-08-26,South,Scientist,3,4,4369,35,SMS,Brother although activity simple mouth.,Silver,31,7
1314,43,Male,41719,PhD,Married,2327,1,2024-04-30,North,Artist,0,5,9365,67,Email,Check color political tree growth significant.,Platinum,18,1
1315,28,Female,55607,Bachelor,Single,2296,0,2024-09-13,South,Engineer,1,4,13574,83,Phone,Fall at myself.,Bronze,14,5
1316,55,Male,62773,High School,Single,1576,1,2024-12-30,North,Scientist,3,3,9153,22,Phone,Production type team history cause charge win.,Silver,73,7
1317,19,Male,69203,PhD,Married,2591,1,2023-11-26,West,Doctor,1,6,16572,20,Phone,Owner service deal dark protect head hand.,Platinum,56,7
1318,24,Female,46035,High School,Married,2401,1,2023-12-13,North,Doctor,3,3,8693,83,Email,Anything catch treat involve.,Bronze,25,3
1319,35,Female,22950,Master,Single,1793,1,2023-02-10,South,Lawyer,1,5,10533,68,SMS,Possible security keep car election drive sure.,Gold,69,5
1320,44,Female,54008,PhD,Single,1812,0,2024-04-20,North,Engineer,3,3,9165,96,SMS,Particularly decision wall.,Gold,89,8
1321,51,Male,51929,High School,Married,1671,1,2024-06-04,East,Teacher,2,5,3283,8,Email,Big carry human system example Mrs.,Platinum,1,9
1322,44,Female,44815,PhD,Single,1354,1,2024-08-20,South,Teacher,0,3,9174,51,Phone,Movie tell keep manage as light rock.,Gold,48,9
1323,34,Male,47997,PhD,Single,2333,1,2024-01-05,South,Artist,3,5,7476,26,Email,Day assume strong.,Gold,47,5
1324,60,Female,52155,Bachelor,Married,2411,1,2025-01-09,North,Teacher,2,2,10703,51,Email,Behind look different about father yes.,Bronze,31,2
1325,61,Male,55426,Bachelor,Married,1536,0,2024-07-03,West,Scientist,4,6,13827,65,SMS,Task memory central always next physical body.,Bronze,2,8
1326,68,Female,54797,High School,Divorced,1384,0,2025-01-21,West,Engineer,3,1,8941,26,Email,Thing so these the positive modern you.,Bronze,82,7
1327,41,Male,46734,PhD,Widowed,1531,1,2024-09-20,South,Doctor,1,6,11114,47,Phone,Church ball magazine better American night.,Bronze,99,4
1328,42,Female,55764,PhD,Married,2055,1,2024-02-27,South,Engineer,0,3,9359,43,SMS,Professor left draw check course suggest.,Bronze,19,5
1329,24,Male,45724,Master,Married,1309,0,2023-03-31,North,Engineer,2,4,12692,9,SMS,Social personal never range hospital purpose.,Bronze,93,2
1330,69,Female,59630,PhD,Married,2563,1,2024-05-24,South,Doctor,2,1,16841,35,Phone,Support return way imagine center.,Gold,36,9
1331,23,Female,40588,Bachelor,Widowed,2533,1,2025-01-13,South,Scientist,0,5,14454,82,Email,Break interview test herself education.,Bronze,19,6
1332,41,Male,51095,PhD,Divorced,2212,0,2023-10-28,West,Engineer,3,1,8151,19,SMS,Only quite traditional attack phone evening blue.,Silver,59,9
1333,50,Female,25643,Bachelor,Single,2404,0,2024-09-07,South,Teacher,1,4,14143,48,Email,Move west school section history recent water.,Silver,97,8
1334,66,Male,44451,Master,Widowed,2029,0,2024-09-15,North,Artist,4,4,10900,80,Phone,Everything interest social.,Platinum,58,1
1335,46,Male,58512,High School,Married,2232,1,2024-12-19,South,Artist,3,6,13695,28,SMS,Hand behavior and probably offer upon describe.,Silver,80,9
1336,60,Female,34493,Bachelor,Married,1349,1,2024-10-10,South,Engineer,0,5,6921,3,Phone,Culture among onto tree.,Bronze,41,9
1337,39,Male,45198,High School,Divorced,2695,1,2023-12-07,South,Scientist,3,6,9734,18,SMS,Police many world position worry president.,Gold,22,4
1338,43,Female,13923,High School,Divorced,1756,1,2024-03-29,East,Doctor,3,3,10535,13,Phone,May still parent involve.,Silver,40,1
1339,45,Female,29478,High School,Divorced,1935,0,2023-06-28,South,Lawyer,0,3,9838,27,Email,Interesting be I. Help field him company.,Bronze,72,4
1340,67,Male,33402,High School,Single,3243,0,2023-06-26,North,Scientist,0,2,10869,40,Phone,Then war opportunity morning place.,Bronze,26,6
1341,38,Female,51526,Bachelor,Widowed,1889,0,2024-08-07,West,Engineer,4,6,9670,39,Phone,Born camera space husband many over vote.,Gold,80,4
1342,66,Male,55001,Master,Widowed,2369,0,2023-12-09,West,Engineer,0,4,8930,58,Phone,General old minute author sort woman.,Bronze,45,9
1343,24,Male,49159,PhD,Divorced,2257,1,2023-09-29,East,Lawyer,0,2,8627,57,Phone,Paper four leader couple lose team.,Bronze,16,4
1344,34,Female,44261,Bachelor,Single,1333,1,2024-05-16,North,Artist,0,4,7543,24,Phone,Walk memory policy value.,Silver,1,8
1345,37,Female,44313,Master,Widowed,1500,0,2025-01-22,West,Scientist,2,2,10924,93,Email,Seek allow listen.,Silver,14,2
1346,58,Male,60740,PhD,Married,3017,1,2024-12-05,West,Artist,0,6,9572,22,Email,Himself song program matter per. Size open fine.,Platinum,74,7
1347,66,Male,53192,High School,Married,2289,0,2024-03-27,South,Lawyer,0,3,8381,51,SMS,Water party amount technology.,Platinum,56,8
1348,37,Female,44990,PhD,Married,1991,0,2024-05-02,South,Doctor,0,4,5503,90,Phone,My employee animal political.,Silver,40,6
1349,39,Female,69399,PhD,Widowed,1732,1,2023-08-03,South,Engineer,4,6,11615,84,Email,Attorney part campaign design.,Silver,72,6
1350,45,Female,79249,Master,Divorced,2160,1,2023-06-20,East,Teacher,3,6,12027,88,Phone,Citizen would oil. Environmental wait list mean.,Platinum,13,8
1351,57,Female,31313,PhD,Married,2207,1,2024-11-10,South,Artist,0,3,7187,76,Phone,Difference sometimes grow beat her always above.,Platinum,7,3
1352,66,Male,57837,High School,Divorced,2113,1,2024-06-30,North,Artist,0,1,10309,82,SMS,Right set painting brother energy single.,Silver,75,2
1353,24,Female,96348,Bachelor,Single,2534,1,2024-12-08,East,Scientist,4,3,8364,76,Phone,Physical know peace officer reality ask.,Bronze,6,9
1354,18,Male,54203,Bachelor,Married,1566,1,2024-08-04,West,Artist,3,4,12154,38,Email,Across move season. Mr past understand company.,Bronze,66,8
1355,49,Male,51731,Master,Single,1499,1,2023-02-13,West,Doctor,4,1,8512,96,SMS,Yourself easy manage charge sort so.,Gold,25,5
1356,30,Female,49163,High School,Divorced,2521,1,2023-07-29,North,Lawyer,1,2,8525,61,SMS,Happen citizen season none.,Silver,2,5
1357,47,Male,57352,High School,Widowed,3056,0,2023-10-15,North,Doctor,1,5,10393,49,SMS,Fear you officer section.,Silver,45,6
1358,40,Female,61323,PhD,Divorced,2421,0,2024-05-27,West,Artist,1,4,8739,23,Phone,Goal air catch break peace.,Silver,3,6
1359,68,Male,31328,Master,Married,2648,1,2024-11-08,North,Scientist,0,5,8534,4,SMS,Which morning interview allow.,Silver,56,2
1360,36,Female,49602,High School,Married,1962,1,2024-07-12,North,Engineer,4,5,8155,76,Email,Cultural test hot history.,Silver,95,7
1361,49,Male,15957,High School,Divorced,2133,0,2024-12-31,North,Artist,0,1,8673,81,Email,Purpose fine cover.,Platinum,45,3
1362,47,Male,46860,High School,Married,2126,0,2023-10-10,South,Engineer,1,2,8875,85,SMS,With dog dog oil oil true.,Platinum,13,8
1363,46,Female,36459,Bachelor,Married,1972,0,2024-09-11,West,Scientist,3,3,10038,37,SMS,Throw set civil top management move.,Bronze,2,9
1364,66,Female,55087,Bachelor,Single,2705,0,2024-03-05,North,Engineer,3,1,9514,93,SMS,Like race serve. Other perform sort project sure.,Bronze,12,3
